Species	Br	Bd	Bd^2
Addax_nasomaculatus	2.267171728	5.029383778	25.29470119
Aepyceros_melampus	2.243038049	4.760497875	22.66234002
Alcelaphus_buselaphus	2.454692449	5.059752694	25.60109732
Alces_alces	2.639486489	5.301029996	28.10091902
Ammotragus_lervia	2.320146286	5.041392685	25.4156402
Antidorcas_marsupialis	2.130391211	4.562505285	20.81645448
Antilocapra_americana	2.098989639	4.669781615	21.80686033
Antilope_cervicapra	2.044670395	4.459392488	19.88618136
Axis_axis	2.340444115	4.946697837	24.46981949
Babyrousa_babyrussa	2.103803721	4.892094603	23.9325896
Bison_bison	2.660865478	5.6349808	31.75300862
Bos_grunniens	2.523746467	5.397940009	29.13775634
Bos_taurus	2.565847819	5.791439696	33.54077375
Boselaphus_tragocamelus	2.434169553	5.096910013	25.97849168
Camelus_dromedarius	2.881954971	5.602059991	31.38307614
Camelus_ferus	2.760422483	5.743914011	32.99254817
Capra_hircus	2.06069784	4.441852176	19.73005075
Capreolus_capreolus	1.966892296	4.242352564	17.99755528
Cephalophus_dorsalis	1.968	4.301	18.498601
Cervus_elaphus	2.612041745	5.301029996	28.10091902
Cervus_nippon	2.303196057	4.724275788	22.31878172
Connochaetes_taurinus	2.646403726	5.326806774	28.37487041
Dama_dama	2.351216345	4.570484563	20.88932914
Damaliscus_lunatus	2.463258246	5.045322979	25.45528396
Damaliscus_pygargus	2.405858399	4.795880017	23.00046514
Eudorcas_thomsonii	1.962842681	4.386855529	19.24450143
Giraffa_camelopardalis	2.84509804	6.082426301	36.99590971
Hemitragus_jemlahicus	2.220108088	4.903089987	24.04029142
Hexaprotodon_liberiensis	2.415	5.356	28.686736
Hippopotamus_amphibius	2.857332496	6.130655349	37.58493501
Hydropotes_inermis	1.72427587	4.105852036	16.85802094
Kobus_ellipsiprymnus	2.462397998	5.274619619	27.82161213
Lama_glama	2.421969341	4.955288114	24.55488029
Madoqua_kirkii	1.568201724	3.6599162	13.39498659
Moschiola_meminna	1.228528677	3.300378065	10.89249537
Muntiacus_muntjak	2.095169351	4.220108088	17.80931227
Odocoileus_virginianus	2.322219295	4.813514272	23.16991965
Okapia_johnstoni	2.699837726	5.361729989	28.74814847
Oryx_beisa	2.447158031	5.302280092	28.11417417
Ourebia_ourebi	1.765916794	4.164848343	17.34596172
Ovis_ammon	2.146128036	4.740362689	22.47103842
Ovis_aries	2.100370545	4.59215332	21.08787211
Pecari_tajacu	2.006466042	4.262664625	18.17030971
Phacochoerus_aethiopicus	2.096910013	4.815046176	23.18466968
Philantomba_maxwellii	1.579783597	3.525908216	12.43202875
Rangifer_tarandus	2.444044796	4.855519156	23.57606627
Raphicerus_campestris	1.710117365	4.008600172	16.06887534
Redunca_fulvorufula	2.080987047	4.51851394	20.41696823
Rupicapra_rupicapra	2.071268163	4.434036354	19.66067839
Rusa_timorensis	2.342	4.818	23.213124
Rusa_unicolor	2.583	5.246	27.520516
Saiga_tatarica	1.961895474	4.602059991	21.17895616
Sus_scrofa	2.229937686	4.938383248	24.3876291
Sylvicapra_grimmia	1.887429741	4.101231387	16.82009889
Syncerus_caffer	2.811239773	5.823108903	33.9085973
Tayassu_pecari	2.163757524	4.508305219	20.32481595
Tragelaphus_eurycerus	2.589949601	5.403120521	29.19371136
Tragelaphus_oryx	2.643452676	5.602059991	31.38307614
Tragelaphus_scriptus	2.217483944	4.645667842	21.5822297
Tragulus_javanicus	1.276461804	3.276445719	10.73509655
Tragulus_napu	1.267171728	3.399673721	11.55778141
Vicugna_vicugna	2.300812794	4.664780765	21.76017959
Bradypus_tridactylus	1.396199347	3.612465964	13.04991034
Bradypus_variegatus	1.205023822	3.513617074	12.34550494
Cabassous_unicinctus	1.374381698	3.59439255	12.9196578
Chaetophractus_villosus	1.195899652	3.640759614	13.25513057
